Category,Reference,Text
Hope,Jeremiah 29:11,"""For I know the plans I have for you,� declares the Lord , �plans to prosper you and not to harm you, plans to give you hope and a future."""
Hope,Romans 15:13,"""May the God of hope fill you with all joy and peace as you trust in him, so that you may overflow with hope by the power of the Holy Spirit."""
Hope,Isaiah 40:31,"""but those who hope in the Lord will renew their strength. They will soar on wings like eagles; they will run and not grow weary, they will walk and not be faint."""
Hope,Lamentations 3:22-23,"""Because of the Lord �s great love we are not consumed, for his compassions never fail. They are new every morning; great is your faithfulness."""
Hope,Psalm 33:18,"""But the eyes of the Lord are on those who fear him, on those whose hope is in his unfailing love,"""
Hope,Proverbs 23:18,"""There is surely a future hope for you, and your hope will not be cut off."""
Hope,Romans 8:24-25,"""For in this hope we were saved. But hope that is seen is no hope at all. Who hopes for what they already have? But if we hope for what we do not yet have, we wait for it patiently."""
Hope,Hebrews 10:23,"""Let us hold unswervingly to the hope we profess, for he who promised is faithful."""
Hope,Psalm 130:5,"""I wait for the Lord , my whole being waits, and in his word I put my hope."""
Hope,Titus 2:13,"""while we wait for the blessed hope�the appearing of the glory of our great God and Savior, Jesus Christ,"""
Hope,Psalm 42:5,"""Why, my soul, are you downcast? Why so disturbed within me? Put your hope in God, for I will yet praise him, my Savior and my God."""
Hope,1 Thessalonians 5:8,"""But since we belong to the day, let us be sober, putting on faith and love as a breastplate, and the hope of salvation as a helmet."""
Hope,Micah 7:7,"""But as for me, I watch in hope for the Lord , I wait for God my Savior; my God will hear me."""
Hope,Ephesians 1:18,"""I pray that the eyes of your heart may be enlightened in order that you may know the hope to which he has called you, the riches of his glorious inheritance in his holy people,"""
Hope,Isaiah 41:10,"""So do not fear, for I am with you; do not be dismayed, for I am your God. I will strengthen you and help you; I will uphold you with my righteous right hand."""
Hope,Psalm 119:114,"""You are my refuge and my shield; I have put my hope in your word."""
Hope,Job 11:18,"""You will be secure, because there is hope; you will look about you and take your rest in safety."""
Hope,Romans 5:5,"""And hope does not put us to shame, because God�s love has been poured out into our hearts through the Holy Spirit, who has been given to us."""
Hope,1 Peter 1:3,"""Praise to God for a Living Hope Praise be to the God and Father of our Lord Jesus Christ! In his great mercy he has given us new birth into a living hope through the resurrection of Jesus Christ from the dead,"""
Hope,Zephaniah 3:17,"""The Lord your God is with you, the Mighty Warrior who saves. He will take great delight in you; in his love he will no longer rebuke you, but will rejoice over you with singing.�"""
Hope,Psalm 31:24,"""Be strong and take heart, all you who hope in the Lord ."""
Hope,Hebrews 6:19,"""We have this hope as an anchor for the soul, firm and secure. It enters the inner sanctuary behind the curtain,"""
Hope,Colossians 1:27,"""To them God has chosen to make known among the Gentiles the glorious riches of this mystery, which is Christ in you, the hope of glory."""
Hope,2 Thessalonians 2:16,"""May our Lord Jesus Christ himself and God our Father, who loved us and by his grace gave us eternal encouragement and good hope,"""
Hope,Pslam 27:13-14,"""""""I remain confident of this: I will see the goodness of the Lord in the land of the living. Wait for the Lord; be strong and take heart and wait for the Lord."""""""
Hope,1 Peter 1:13,"""Be Holy Therefore, with minds that are alert and fully sober, set your hope on the grace to be brought to you when Jesus Christ is revealed at his coming."""
Hope,2 Corinthians 4:17-18,"""For our light and momentary troubles are achieving for us an eternal glory that far outweighs them all. So we fix our eyes not on what is seen, but on what is unseen, since what is seen is temporary, but what is unseen is eternal."""
Hope,Revelation 21:4,"""�He will wipe every tear from their eyes. There will be no more death� or mourning or crying or pain, for the old order of things has passed away.�"""
Hope,Psalm 71:5,"""For you have been my hope, Sovereign Lord , my confidence since my youth."""
Hope,John 16:33,"""�I have told you these things, so that in me you may have peace. In this world you will have trouble. But take heart! I have overcome the world.�"""
Hope,Isaiah 26:3,"""You will keep in perfect peace those whose minds are steadfast, because they trust in you."""
Hope,Acts 2:26,"""Therefore my heart is glad and my tongue rejoices; my body also will rest in hope,"""
Hope,Psalm 9:18,"""But God will never forget the needy; the hope of the afflicted will never perish."""
Hope,Luke 1:37,"""For no word from God will ever fail.�"""
Hope,Isaiah 43:2,"""When you pass through the waters, I will be with you; and when you pass through the rivers, they will not sweep over you. When you walk through the fire, you will not be burned; the flames will not set you ablaze."""
Hope,Romans 12:12,"""Be joyful in hope, patient in affliction, faithful in prayer."""
Hope,Galatians 6:9,"""Let us not become weary in doing good, for at the proper time we will reap a harvest if we do not give up."""
Hope,Psalm 62:5,"""Yes, my soul, find rest in God; my hope comes from him."""
Hope,Lamentations 3:24,"""I say to myself, �The Lord is my portion; therefore I will wait for him.�"""
